hour_of_day,avg_temp
0,25.512250089645384
1,25.04216212195319
2,24.96045435558666
3,24.528947428653115
4,24.471379395188958
5,25.22974366408128
6,25.185000056312198
7,24.339000129699706
8,24.759024387452662
9,24.376595558004176
10,24.75444444020589
11,24.832195119159977
12,25.56399998664856
13,24.087736039791466
14,24.03255320609884
15,25.295789467661006
16,24.560434901196025
17,25.85451627546741
18,23.66812500357628
19,24.897297343692266
20,25.40609755167147
21,24.24954535744407
22,25.213142830984932
23,25.873636267401956
